acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0,0,0,0,0,0,1
-0.017407509,0.023230679,0.003694777,-0.003589366,0.002315868,0.000105059,1
-0.052003596,0.069346271,0.010971961,-0.010241746,0.007060469,0.000419113,1
-0.103318676,0.137667716,0.021667479,-0.021241451,0.013406553,0.001052473,1
-0.17064932,0.227206767,0.035571143,-0.034843449,0.019619226,0.002022329,1
-0.253083259,0.336700141,0.052432973,-0.044086963,0.022678776,0.002618385,1
-0.34953016,0.464651674,0.071970984,-0.042996388,0.021693876,0.00222615,1
-0.45875594,0.609379649,0.093880519,-0.042113934,0.020670647,0.00149191,1
-0.57942307,0.769067287,0.117838494,-0.041562762,0.019378105,0.00083851,1
-0.710124433,0.941813052,0.143517107,-0.041381214,0.018213606,0.000237237,1
-0.849427164,1.125680923,0.17063421,-0.040513251,0.017426707,-0.000312228,1
-0.995970547,1.318766594,0.199412644,-0.039601907,0.016325234,-0.00086252,1
-1.148355842,1.519189477,0.2296056,-0.038950283,0.014992257,-0.001651926,1
-1.305241227,1.725148201,0.260974228,-0.038049288,0.013783698,-0.001909483,1
-1.4653579,1.934946299,0.293287724,-0.037269436,0.012754194,-0.0021718,1
-1.627529979,2.147011995,0.326331943,-0.036414701,0.011747027,-0.002780925,1
-1.790668845,2.359910011,0.359893739,-0.035938203,0.011614558,-0.003207394,1
-1.953818917,2.572352409,0.393806726,-0.035978198,0.010631412,-0.003057559,1
-2.11608243,2.783194304,0.427866518,-0.036624458,0.009816773,-0.002327062,1
-2.276716948,2.991441488,0.461939126,-0.036816716,0.009751279,-0.001185247,1
-2.435003281,3.196156025,0.495701849,-0.037724741,0.010301292,0.000277317,1
-2.590755701,3.39627099,0.528357387,-0.039055508,0.010612599,0.001174755,1
-2.742809296,3.592149258,0.568826318,-0.039985735,0.01071164,0.001722999,1
-2.887198448,3.779305696,0.605716765,-0.041544449,0.011350362,0.002492848,1
-3.029014826,3.962497473,0.637778163,-0.044060532,0.012521428,0.004186973,1
-3.180351734,4.135691166,0.663238585,-0.045104116,0.014142591,0.004980189,0
-3.343632221,4.288137913,0.68920213,-0.046620611,0.015460952,0.006036875,0
-3.486735106,4.438843727,0.70824945,-0.049655817,0.021438055,0.008981963,0
-3.607496738,4.590362072,0.722718477,-0.053541653,0.029625351,0.012424374,0
-3.712374687,4.741892338,0.742822945,-0.058368836,0.037248034,0.017560959,0
-3.804443359,4.895699978,0.768059134,-0.063693963,0.042802431,0.025210559,0
-3.877531052,5.052685261,0.805597186,-0.068534546,0.045453444,0.036653347,0
-3.926381111,5.213911533,0.854341447,-0.073533244,0.044535164,0.05410802,0
-3.957427263,5.374849796,0.90349102,-0.078386895,0.043642271,0.078601815,0
-3.995838881,5.528223515,0.94376111,-0.081917681,0.043519795,0.10484153,0
-4.066491127,5.663514137,0.976011992,-0.085332163,0.046399262,0.126903921,0
-4.166340351,5.775596619,1.007636547,-0.090733744,0.053626373,0.14095591,0
-4.268079281,5.871711254,1.041573763,-0.099167012,0.059911586,0.145999253,0
-4.347592354,5.969128132,1.056861758,-0.108567774,0.062277824,0.145099029,0
-4.401594639,6.072234154,1.056882262,-0.115926541,0.058778577,0.143260539,0
-4.430804729,6.180959702,1.054881096,-0.118554831,0.04774693,0.146262258,0
-4.444175243,6.288608074,1.055298328,-0.117549054,0.029777436,0.157842398,0
-4.452946186,6.394230843,1.055628896,-0.113959841,0.009418108,0.175914764,0
-4.45466423,6.494730949,1.051843524,-0.111015126,-0.007469325,0.19982712,0
-4.454588413,6.579357147,1.049364448,-0.112674065,-0.01859838,0.22711128,0
-4.457976341,6.647726536,1.056062102,-0.120267168,-0.028904002,0.255782843,0
-4.462395191,6.701144218,1.072020531,-0.133917123,-0.047924433,0.285800338,0
-4.505233288,6.749403954,1.070657134,-0.154671401,-0.065307684,0.31435594,0
-4.594204426,6.7863307,1.058029652,-0.184603125,-0.062877499,0.328757614,0
-4.707232952,6.785387993,1.042693138,-0.222034618,-0.033071298,0.325380504,0
-4.795222282,6.727264404,1.069295526,-0.264852762,0.002162226,0.314428985,0
-4.820160389,6.630499363,1.156080246,-0.293968946,-0.001006209,0.290183216,0
-4.785746574,6.551217556,1.265351534,-0.30976066,-0.052312672,0.261947125,0
-4.575357437,6.543618679,1.351207018,-0.333626628,-0.140824765,0.250043094,0
-4.349665642,6.536731243,1.367357016,-0.379947037,-0.206579521,0.263407141,0
-4.141039848,6.533099651,1.343760967,-0.433005452,-0.239558786,0.28677839,0
-3.971660852,6.49144125,1.343277216,-0.450273007,-0.292313069,0.328403741,0
-3.838916063,6.419512749,1.461567163,-0.464069247,-0.349440873,0.380372256,0
-3.739604235,6.333340645,1.649103999,-0.497983754,-0.399501354,0.43140167,0
-3.643905878,6.223969936,1.860629678,-0.556170404,-0.465013862,0.480971128,0
-3.464916945,6.15167141,1.981252551,-0.622435033,-0.529143035,0.529739797,0
-3.244589567,6.06115675,2.094115734,-0.676199913,-0.577783942,0.573899865,0
-2.999775887,5.911053658,2.217027187,-0.720037937,-0.633595705,0.607212186,0
-2.6641891,5.752242088,2.390100956,-0.753025413,-0.681301773,0.637070715,0
-2.339166403,5.696426868,2.610267162,-0.791852832,-0.714845538,0.6626333,0
-2.068660975,5.79496336,2.801084757,-0.820203006,-0.735494375,0.685507774,0
-1.908222079,6.01335907,2.926418066,-0.833200336,-0.74219054,0.714418113,0
-1.813213825,6.185949802,3.079946041,-0.840809584,-0.740516663,0.746069431,0
-1.67185986,6.310786247,3.281066656,-0.840503156,-0.735679865,0.778820336,0
-1.496708751,6.393466949,3.5362885,-0.832928121,-0.720920742,0.813864172,0
-1.340336442,6.41758585,3.812455416,-0.832667232,-0.697139621,0.847338498,0
-1.183790684,6.402372837,4.108985901,-0.838258982,-0.67250824,0.879781663,0
